County,Population
".Twin Falls County, Idaho","90,048"
".Valley County, Idaho","11,742"
".Washington County, Idaho","10,499"
".Adams County, Illinois","65,736"
".Alexander County, Illinois","5,241"
".Bond County, Illinois","16,895"
".Boone County, Illinois","53,446"
".Brown County, Illinois","6,250"
".Bureau County, Illinois","33,274"
".Calhoun County, Illinois","4,434"
".Carroll County, Illinois","15,714"
".Cass County, Illinois","13,034"
".Champaign County, Illinois","206,455"
".Christian County, Illinois","34,059"
".Clark County, Illinois","15,481"
".Clay County, Illinois","13,289"
".Clinton County, Illinois","36,903"
".Coles County, Illinois","47,192"
".Cook County, Illinois","5,278,969"
".Crawford County, Illinois","18,659"
".Cumberland County, Illinois","10,457"
".DeKalb County, Illinois","100,514"
".De Witt County, Illinois","15,521"
".Douglas County, Illinois","19,751"
".DuPage County, Illinois","933,031"
".Edgar County, Illinois","16,876"
".Edwards County, Illinois","6,244"
".Effingham County, Illinois","34,679"
".Fayette County, Illinois","21,490"
".Ford County, Illinois","13,522"
".Franklin County, Illinois","37,820"
".Fulton County, Illinois","33,673"
".Gallatin County, Illinois","4,954"
".Greene County, Illinois","11,986"
".Grundy County, Illinois","52,554"
".Hamilton County, Illinois","7,989"
".Hancock County, Illinois","17,628"
".Hardin County, Illinois","3,651"
".Henderson County, Illinois","6,385"
".Henry County, Illinois","49,289"
".Iroquois County, Illinois","27,063"
".Jackson County, Illinois","53,338"
".Jasper County, Illinois","9,300"
".Jefferson County, Illinois","37,113"
".Jersey County, Illinois","21,513"
".Jo Daviess County, Illinois","22,082"
".Johnson County, Illinois","13,307"
".Kane County, Illinois","516,722"
".Kankakee County, Illinois","107,647"
".Kendall County, Illinois","131,863"
".Knox County, Illinois","49,970"
".Lake County, Illinois","714,412"
".LaSalle County, Illinois","109,646"
".Lawrence County, Illinois","15,307"
".Lee County, Illinois","34,151"
".Livingston County, Illinois","35,848"
".Logan County, Illinois","27,987"
".McDonough County, Illinois","27,250"
".McHenry County, Illinois","310,289"
".McLean County, Illinois","171,241"
".Macon County, Illinois","103,996"
".Macoupin County, Illinois","45,039"
".Madison County, Illinois","265,972"
".Marion County, Illinois","37,738"
".Marshall County, Illinois","11,745"
".Mason County, Illinois","13,086"
".Massac County, Illinois","14,172"
".Menard County, Illinois","12,296"
".Mercer County, Illinois","15,696"
".Monroe County, Illinois","34,954"
".Montgomery County, Illinois","28,321"
".Morgan County, Illinois","33,567"
".Moultrie County, Illinois","14,537"
".Ogle County, Illinois","51,847"
".Peoria County, Illinois","182,021"
".Perry County, Illinois","20,945"
".Piatt County, Illinois","16,678"
".Pike County, Illinois","14,731"
".Pope County, Illinois","3,768"
".Pulaski County, Illinois","5,208"
".Putnam County, Illinois","5,637"
